1girl,一人の女の子
honkai_impact_3rd,崩壊3rd
colored_eyelashes,色のついたまつげ
ribbon-trimmed_sleeves,リボン飾りの袖
bowl,ボウル
wide-eyed,目を見開いた
dog_tail,犬の尻尾
6+boys,少年6人以上
hat_ornament,帽子の飾り
cumdrip,潮吹き
sports_bra,スポーツブラ
school_bag,ランドセル
asymmetrical_bangs,アシメ前髪
stubble,無精ひげ
:q,：q
tanlines,日焼け跡
head_rest,ヘッドレスト
plump,ふっくらした
tentacle_hair,触手ヘアー
rabbit_girl,うさぎ娘
purple_flower,紫の花
knees_together_feet_apart,膝を揃えて足を広げる
twins,双子
holding_umbrella,傘を持つ
blue_bowtie,青い蝶ネクタイ
running,走る
monster,モンスター
purple_shirt,紫のシャツ
multicolored_eyes,虹彩異色症
fins,ひれ
braided_ponytail,三つ編みポニーテール
shoulder_bag,ショルダーバッグ
winter_uniform,冬服
innertube,浮き輪
rape,強姦
black_serafuku,黒いセーラー服
sideburns,もみあげ
lolita_fashion,ロリータファッション
drinking_straw,ストロー
competition_swimsuit,競泳水着
hands_on_own_hips,腰に手を当てる
dual_wielding,二刀流
mini_person,ミニキャラ
boku_no_hero_academia,僕のヒーローアカデミア
buruma,ブルマ
shirt_tucked_in,シャツをタックイン
dog,犬
bandaged_arm,包帯を巻いた腕
doggystyle,騎乗位
red_rose,赤いバラ
sun_hat,麦わら帽子
jeans,ジーンズ
watch,腕時計
doujin_cover,同人誌表紙
blue_one-piece_swimsuit,青いワンピース水着
spread_pussy,広げた股間
looking_ahead,前を見る
holding_staff,杖を持つ
height_difference,身長差
hairpin,ヘアピン
paper,紙
contrapposto,コントラポスト
asymmetrical_hair,アシメヘアー
wolf_girl,狼娘
legs_together,足を揃える
blurry_foreground,ぼやけた前景
notice_lines,注釈線
fur_collar,毛皮の襟
reaching,手を伸ばす
cum_in_mouth,口の中に精液
threesome,三人組
collared_dress,襟付きのドレス
source_request,ソースリクエスト
sunset,夕日
mustache,口ひげ
panties_under_pantyhose,パンティの上にパンティストッキング
straight-on,正面
thighband_pantyhose,太ももまでのパンティストッキング
santa_costume,サンタ衣装
long_dress,ロングドレス
hair_down,髪を下ろす
dragon_tail,ドラゴンの尻尾
garter_belt,ガーターベルト
shameimaru_aya,射命丸文
missionary,伝道師
hoop_earrings,フープピアス
neon_genesis_evangelion,新世紀エヴァンゲリオン
long_bangs,長めの前髪
naughty_face,いたずらっぽい顔
mouth_mask,マスク
+_+,+_+
ass_focus,お尻フォーカス
nontraditional_miko,非伝統的な巫女
torn_pantyhose,破れたパンティストッキング
partially_fingerless_gloves,部分的に指ぬき手袋
ghost,幽霊
serious,真剣な
white_leotard,白いレオタード
league_of_legends,リーグ・オブ・レジェンド
the_legend_of_zelda,ゼルダの伝説
circlet,冠
orange_background,オレンジ色の背景
pink_lips,ピンクの唇
poke_ball,モンスターボール
under-rim_eyewear,縁の下の眼鏡
black_bodysuit,黒いボディスーツ
dog_girl,犬娘
rabbit,ウサギ
shield,盾
aged_up,年齢操作
mug,マグカップ
wooden_floor,木の床
pokemon_swsh,ポケモン ソード・シールド
machinery,機械
bouquet,ブーケ
chinese_text,中国語
lollipop,ロリポップ
injury,怪我
2koma,2コマ
short_eyebrows,短い眉毛
breastplate,胸当て
resolution_mismatch,解像度不一致
white_outline,白い輪郭
mirror,鏡
yu-gi-oh!,遊☆戯☆王
teddy_bear,テディベア
blue_theme,青いテーマ
lantern,ランタン
oni,鬼
skull,ドクロ
rock,岩
double_v,ダブルV
impossible_clothes,ありえない服
female_masturbation,女性の自慰
brown_belt,茶色いベルト
reisen_udongein_inaba,鈴仙・優曇華院・イナバ
paw_pose,肉球ポーズ
brother_and_sister,兄妹
ice,氷
black_horns,黒い角
smirk,ニヤリとする
enmaided,エマメイド
pink_jacket,ピンクのジャケット
bouncing_breasts,揺れる胸
striped_bow,縞模様のリボン
shawl,ショール
cleft_of_venus,女神の割れ目
mini_hat,ミニハット
scar_across_eye,目の傷跡
popsicle,アイスキャンディー
sheathed,鞘に収められた
pajamas,パジャマ
breasts_squeezed_together,胸を押し付ける
open_book,開いた本
hand_between_legs,股の間に手
fujiwara_no_mokou,藤原妹紅
=_=,=_=
final_fantasy_xiv,ファイナルファンタジーXIV
bags_under_eyes,目の下のクマ
abyssal_ship,深海棲艦
card,カード
off-shoulder_dress,オフショルダーのドレス
water_drop,水滴
v_arms,V字の腕
toenail_polish,ペディキュア
sideways_glance,横目
sarashi,晒
waving,手を振る
shiny_clothes,光沢のある服
final_fantasy_vii,ファイナルファンタジーVII
glint,きらめき
third-party_source,第三者ソース
crystal,クリスタル
striped_bikini,縞模様のビキニ
eyebrows_hidden_by_hair,髪で隠れた眉毛
akemi_homura,暁美ほむら
arms_at_sides,腕を横に
fishnet_pantyhose,網タイツ
large_penis,大きなペニス
can,缶
fur-trimmed_jacket,毛皮飾りのジャケット
:t,:t
stud_earrings,スタッドピアス
stairs,階段
pink_footwear,ピンクの履物
upside-down,逆さま
k-on!,けいおん！
hug_from_behind,後ろから抱きしめる
dragon,ドラゴン
red_cape,赤いマント
on_floor,床の上
komeiji_satori,古明地さとり
snowing,雪が降る
handbag,ハンドバッグ
light_rays,光線
lab_coat,白衣
jpeg_artifacts,JPEGアーティファクト
leash,リード
splatoon_(series),スプラトゥーンシリーズ
blue_halo,青い輪
holding_flower,花を持つ
veiny_penis,血管の浮き出たペニス
eyeliner,アイライナー
object_insertion,物体挿入
heart_hair_ornament,ハートの髪飾り
pout,ふくれっ面
minigirl,ミニスカートの女の子
forehead_mark,額の印
kaname_madoka,鹿目まどか
military_hat,軍帽
pink_halo,ピンクの輪
new_year,新年
!?,!?
sign,標識
city,都市
backless_outfit,背中の開いた服
black_collar,黒い襟
bandaid_on_face,顔の絆創膏
fire_emblem_heroes,ファイアーエムブレム ヒーローズ
blue_skin,青い肌
unworn_hat,未着用の帽子
street_fighter,ストリートファイター
hand_on_another's_shoulder,相手の肩に手を置く
steaming_body,湯気
korean_text,韓国語
foot_out_of_frame,フレーム外の足
meme_attire,ミーム衣装
hong_meiling,紅美鈴
yukata,浴衣
adjusting_clothes,服を直す
sharp_fingernails,鋭い爪
spoon,スプーン
oekaki,お絵かき
motion_blur,モーションブラー
purple_nails,紫の爪
ice_cream,アイスクリーム
chopsticks,箸
drink,飲み物
spear,槍
sportswear,スポーツウェア
strawberry,イチゴ
sand,砂
tiles,タイル
arrow_(symbol),矢印(記号)
low_wings,低い翼
hugging_object,物を抱きしめる
chainsaw_man,チェンソーマン
borrowed_character,借り物
animal_hood,アニマルフード
blue_gloves,青い手袋
holding_unworn_clothes,着ていない服を持つ
jumping,ジャンプ
hair_behind_ear,耳の後ろの髪
red_lips,赤い唇
muscular_female,筋肉質な女性
red_hairband,赤いヘアバンド
animal_focus,動物フォーカス
hands_in_pockets,ポケットに手
protected_link,保護されたリンク
mouse_ears,ネズミ耳
black_cape,黒いマント
lyrical_nanoha,魔法少女リリカルなのは
single_side_bun,片側お団子
music,音楽
holding_knife,ナイフを持つ
fake_horns,偽の角
foot_focus,足フォーカス
blue_panties,青いパンティ
blue_kimono,青い着物
bespectacled,眼鏡をかけた
double-breasted,ダブルブレスト
goatee,山羊ひげ
pixiv_commission,Pixivコミッション
princess_connect!,プリンセスコネクト！
hand_on_own_cheek,自分の頬に手を当てる
saigyouji_yuyuko,西行寺幽々子
railing,手すり
chromatic_aberration,色収差
layered_sleeves,重ね着風の袖
chocolate,チョコレート
fork,フォーク
front-tie_bikini_top,フロントタイビキニトップ
suzumiya_haruhi_no_yuuutsu,涼宮ハルヒの憂鬱
shrug_(clothing),肩をすくめる(服)
sound_effects,効果音
hat_flower,帽子の花
butt_crack,尻の割れ目
cum_overflow,精液の溢れ
butterfly_hair_ornament,蝶の髪飾り
bow_(weapon),弓(武器)
contemporary,現代的
mountain,山
nun,尼僧
zenless_zone_zero,ゼンレスゾーンゼロ
outstretched_hand,差し伸べられた手
drawstring,ドローストリング
;),;)
criss-cross_halter,クロスホルター
nipple_stimulation,乳首への刺激
purple_ribbon,紫のリボン
pixel-perfect_duplicate,ピクセルパーフェクト重複
o_o,o_o
back_bow,後ろリボン
pasties,ニプレス
toaru_majutsu_no_index,とある魔術の禁書目録
yellow_ascot,黄色の付け襟
idolmaster_million_live!,アイドルマスター ミリオンライブ！
arm_tattoo,腕のタトゥー
visor_cap,バイザーキャップ
fence,フェンス
page_number,ページ番号
no_nose,鼻なし
nurse_cap,ナースキャップ
ofuda,お札
straw_hat,麦わら帽子
branch,枝
tinted_eyewear,色付き眼鏡
tabard,タバード
center_frills,中央のフリル
brown_dress,茶色のドレス
fighting_stance,戦闘態勢
long_legs,長い脚
green_ribbon,緑のリボン
white_sweater,白いセーター
black_one-piece_swimsuit,黒いワンピース水着
sitting_on_person,人に座る
alternate_color,別色
smoking,喫煙
large_areolae,大きい乳輪
skirt_hold,スカートを持つ
grey_pants,灰色のパンツ
pov_hands,POVの手
interracial,異人種間
black_sclera,黒い強膜
panties_aside,パンティを脇に
world_witches_series,ワールドウィッチーズシリーズ
palm_tree,ヤシの木
off-shoulder_shirt,オフショルダーのシャツ
falling_petals,散る花びら
blue_leotard,青いレオタード
beanie,ニット帽
jacket_on_shoulders,肩にかけたジャケット
fate/extra,Fate/EXTRA
dakimakura_(medium),抱き枕(中)
character_doll,キャラクタードール
bandana,バンダナ
crown_braid,王冠編み
mario_(series),マリオシリーズ
full-face_blush,顔全体に赤面
spaghetti_strap,スパゲッティストラップ
red_vest,赤いベスト
covering_own_mouth,自分の口を覆う
underwater,水中
realistic,写実的
fire_emblem:_three_houses,ファイアーエムブレム 風花雪月
tress_ribbon,髪飾りリボン
hime_cut,姫カット
inubashiri_momiji,犬走椛
wedding_dress,ウェディングドレス
holding_bag,バッグを持つ
hair_tie,ヘアゴム
hair_bell,髪飾り鈴
xenoblade_chronicles_(series),ゼノブレイドシリーズ
dragon_ball,ドラゴンボール
blunt_ends,切りっぱなし
vibrator,バイブレーター
floral_background,花柄の背景
kneepits,膝のくぼみ
zoom_layer,ズームレイヤー
brown_shirt,茶色のシャツ
facing_away,背を向ける
flipped_hair,フリップヘア
camera,カメラ
white_scarf,白いスカーフ
door,ドア
bloomers,ブルマー
vision_(genshin_impact),ビジョン(原神)
folded_ponytail,折り畳まれたポニーテール
double-parted_bangs,センター分け前髪
body_fur,体の毛
tracen_school_uniform,トレーサー風制服
frilled_shirt,フリル付きシャツ
nose,鼻
smug,得意げな
horizon,地平線
valentine,バレンタイン
apple,リンゴ
dildo,ディルド
heart_hands,ハートの手
yellow_jacket,黄色いジャケット
licking_lips,唇を舐める
on_chair,椅子の上
cum_on_hair,髪に精液
orange_bow,オレンジ色のリボン
blood_on_clothes,服の血
artist_logo,アーティストロゴ
android,アンドロイド
size_difference,サイズ差
reaching_towards_viewer,こちらへ手を伸ばす
summer_uniform,夏服
blindfold,目隠し
|_|,|_|
print_bikini,プリントビキニ
covered_mouth,口を覆われた
doll,人形
chibi_only,ちびキャラのみ
black_sweater,黒いセーター
white_one-piece_swimsuit,白いワンピース水着
suspender_skirt,サスペンダースカート
sunflower,ひまわり
kaga_(kancolle),加賀(艦これ)
grabbing_from_behind,後ろから掴む
anklet,アンクレット
pinafore_dress,エプロンドレス
very_short_hair,非常に短い髪
pokemon_sv,ポケモン スカーレット・バイオレット
hair_spread_out,髪を広げる
highleg_panties,ハイレグパンティ
tail_ornament,尻尾の飾り
snake,ヘビ
potted_plant,鉢植えの植物
gag,ガガ
covering_breasts,胸を覆う
kagamine_rin,鏡音リン
shota,ショタ
adjusting_eyewear,眼鏡を調整する
animated_gif,アニメGIF
pink_bikini,ピンクのビキニ
bocchi_the_rock!,ぼっち・ざ・ろっく！
sun,太陽
overalls,オーバーオール
absurdly_long_hair,異常に長い髪
center_opening,中央開き
project_moon,Project moon
bang_dream!,バンドリ！
headpiece,ヘッドピース
panties_around_one_leg,片足にパンティ
blanket,毛布
selfie,自撮り
antennae,触角
tachi-e,タチ絵
mecha_pilot_suit,メカパイロットスーツ
head_out_of_frame,フレーム外の頭
pleated_dress,プリーツドレス
sailor_shirt,セーラーシャツ
adjusting_hair,髪を整える
angel,天使
top-down_bottom-up,上から下へ、下から上へ
alternate_hair_length,髪の長さ違い
car,車
spread_arms,腕を広げる
wand,杖
hair_over_eyes,髪で目の上
food_on_face,顔の食べ物
star-shaped_pupils,星型の瞳孔
underbust,アンダーバスト
miko,巫女
hanging_breasts,垂れた胸
pink_bra,ピンクのブラ
cross-laced_clothes,クロスレースの服
bandeau,バンドゥ
guitar,ギター
love_live!_sunshine!!,ラブライブ！サンシャイン!!
cropped_shirt,クロップドシャツ
yakumo_ran,八雲藍
ship_turret,艦船砲塔
brown_thighhighs,茶色のサイハイソックス
ringed_eyes,リング状の目
pen,ペン
white_fur,白い毛皮
partially_visible_vulva,部分的に見える外陰部
shoulder_cutout,肩出し
aircraft,航空機
gift_box,ギフトボックス
holding_bottle,ボトルを持つ
clock,時計
folding_fan,扇子
card_(medium),カード(中)
copyright_notice,著作権表示
ahegao,アヘ顔
painting_(medium),絵画(媒体)
gakuran,学ラン
pixel_art,ピクセルアート
antlers,角
ear_covers,イヤーカバー
bookshelf,本棚
danganronpa_2:_goodbye_despair,ダンガンロンパ2 Goodbye Despair
brown_pants,茶色のパンツ
clitoris,クリトリス
yokozuwari,横座り
cabbie_hat,キャビーハット
bound_wrists,縛られた手首
microskirt,マイクロミニスカート
white_capelet,白いケープレット
saliva_trail,唾液の跡
huge_ass,巨大な尻
spoken_question_mark,発言疑問符
